iter	Passed	Remaining
0	1	159
1	16	810
2	18	598
3	19	478
4	21	411
5	23	371
6	25	338
7	27	313
8	29	293
9	31	281
10	33	267
11	35	257
12	36	246
13	38	237
14	39	225
15	40	212
16	41	200
17	41	189
18	42	180
19	42	171
20	43	164
21	44	157
22	45	151
23	46	146
24	46	140
25	47	136
26	48	131
27	49	127
28	50	123
29	51	120
30	53	118
31	54	115
32	56	114
33	58	113
34	59	109
35	60	106
36	61	104
37	63	102
38	64	101
39	66	99
40	67	97
41	68	94
42	70	92
43	71	91
44	72	89
45	74	87
46	75	85
47	77	83
48	79	82
49	80	80
50	81	78
51	82	76
52	83	74
53	84	71
54	85	69
55	86	67
56	87	65
57	89	64
58	90	63
59	92	61
60	94	60
61	94	58
62	96	56
63	97	54
64	98	53
65	100	51
66	101	50
67	103	48
68	104	47
69	106	45
70	108	44
71	109	42
72	110	40
73	111	39
74	112	37
75	113	35
76	115	34
77	117	33
78	118	31
79	120	30
80	122	28
81	123	27
82	125	25
83	126	24
84	128	22
85	130	21
86	132	19
87	133	18
88	134	16
89	135	15
90	137	13
91	139	12
92	140	10
93	141	9
94	143	7
95	144	6
96	145	4
97	146	2
98	146	1
99	147	0
